Date,Price,Open,High,Low,Vol.,Change %
01/01/2000,0.08,0.1,0.1,0.07,4.94B,-20.00%
02/01/2000,0.13,0.08,0.14,0.07,9.16B,62.50%
03/01/2000,0.18,0.13,0.31,0.12,17.55B,38.46%
04/01/2000,0.19,0.17,0.23,0.12,6.48B,5.56%
05/01/2000,0.24,0.19,0.25,0.16,8.70B,26.32%
06/01/2000,0.26,0.24,0.37,0.24,13.27B,8.33%
07/01/2000,0.25,0.27,0.32,0.21,7.28B,-3.85%
08/01/2000,0.33,0.25,0.34,0.23,6.08B,32.00%
09/01/2000,0.34,0.34,0.36,0.26,5.87B,3.03%
10/01/2000,0.26,0.35,0.36,0.22,8.84B,-23.53%
11/01/2000,0.17,0.25,0.33,0.15,8.68B,-34.62%
12/01/2000,0.14,0.18,0.21,0.11,14.47B,-17.65%
01/01/2001,0.22,0.14,0.24,0.12,10.73B,57.14%
02/01/2001,0.19,0.22,0.25,0.17,11.69B,-13.64%
03/01/2001,0.27,0.18,0.3,0.17,28.94B,42.11%
04/01/2001,0.35,0.27,0.37,0.22,31.12B,29.63%
05/01/2001,0.36,0.35,0.42,0.31,28.06B,2.86%
06/01/2001,0.39,0.36,0.42,0.35,20.18B,8.33%
07/01/2001,0.34,0.37,0.38,0.28,21.62B,-12.82%
08/01/2001,0.35,0.34,0.38,0.33,29.94B,2.94%
09/01/2001,0.23,0.35,0.35,0.21,21.18B,-34.29%
10/01/2001,0.36,0.23,0.42,0.19,26.41B,56.52%
11/01/2001,0.46,0.36,0.47,0.36,29.01B,27.78%
12/01/2001,0.56,0.45,0.59,0.44,17.65B,21.74%
01/01/2002,0.55,0.56,0.61,0.5,23.59B,-1.79%
02/01/2002,0.43,0.55,0.55,0.41,31.08B,-21.82%
03/01/2002,0.37,0.43,0.5,0.35,27.08B,-13.95%
04/01/2002,0.29,0.35,0.37,0.25,32.12B,-21.62%
05/01/2002,0.28,0.29,0.34,0.26,27.82B,-3.45%
06/01/2002,0.14,0.27,0.28,0.14,28.90B,-50.00%
07/01/2002,0.09,0.14,0.19,0.09,32.55B,-35.71%
08/01/2002,0.08,0.09,0.11,0.07,24.18B,-11.11%
09/01/2002,0.07,0.08,0.1,0.07,17.89B,-12.50%
10/01/2002,0.1,0.07,0.1,0.06,18.43B,42.86%
11/01/2002,0.14,0.1,0.15,0.09,34.15B,40.00%
12/01/2002,0.1,0.15,0.15,0.09,22.01B,-28.57%
01/01/2003,0.09,0.1,0.12,0.08,23.64B,-10.00%
02/01/2003,0.11,0.09,0.11,0.08,21.35B,22.22%
03/01/2003,0.11,0.11,0.12,0.1,18.01B,0.00%
04/01/2003,0.12,0.11,0.12,0.11,12.62B,9.09%
05/01/2003,0.22,0.12,0.22,0.12,37.56B,83.33%
06/01/2003,0.19,0.22,0.23,0.18,23.28B,-13.64%
07/01/2003,0.16,0.19,0.21,0.15,19.95B,-15.79%
08/01/2003,0.15,0.16,0.18,0.13,21.91B,-6.25%
09/01/2003,0.13,0.15,0.18,0.13,23.62B,-13.33%
10/01/2003,0.15,0.13,0.16,0.13,13.84B,15.38%
11/01/2003,0.18,0.15,0.18,0.15,18.25B,20.00%
12/01/2003,0.19,0.18,0.2,0.16,12.35B,5.56%
01/01/2004,0.19,0.2,0.22,0.18,12.42B,0.00%
02/01/2004,0.19,0.19,0.2,0.18,11.89B,0.00%
03/01/2004,0.22,0.18,0.22,0.17,13.20B,15.79%
04/01/2004,0.17,0.22,0.23,0.17,12.37B,-22.73%
05/01/2004,0.2,0.17,0.2,0.17,10.31B,17.65%
06/01/2004,0.17,0.19,0.2,0.16,9.60B,-15.00%
07/01/2004,0.13,0.17,0.17,0.12,11.75B,-23.53%
08/01/2004,0.1,0.13,0.13,0.08,22.66B,-23.08%
09/01/2004,0.12,0.1,0.13,0.1,15.64B,20.00%
10/01/2004,0.12,0.12,0.13,0.11,16.38B,0.00%
11/01/2004,0.16,0.12,0.17,0.12,18.52B,33.33%
12/01/2004,0.2,0.16,0.21,0.16,17.71B,25.00%
01/01/2005,0.19,0.2,0.21,0.17,13.74B,-5.00%
02/01/2005,0.24,0.19,0.24,0.19,17.52B,26.32%
03/01/2005,0.2,0.24,0.25,0.2,15.17B,-16.67%
04/01/2005,0.18,0.2,0.2,0.17,9.83B,-10.00%
05/01/2005,0.23,0.18,0.23,0.18,14.35B,27.78%
06/01/2005,0.22,0.22,0.24,0.21,16.34B,-4.35%
07/01/2005,0.23,0.22,0.24,0.21,13.70B,4.55%
08/01/2005,0.26,0.23,0.26,0.23,14.60B,13.04%
09/01/2005,0.29,0.25,0.29,0.25,11.12B,11.54%
10/01/2005,0.28,0.29,0.3,0.25,9.39B,-3.45%
11/01/2005,0.3,0.28,0.32,0.27,13.21B,7.14%
12/01/2005,0.3,0.3,0.32,0.3,7.66B,0.00%
01/01/2006,0.37,0.31,0.39,0.31,9.52B,23.33%
02/01/2006,0.39,0.37,0.42,0.36,11.91B,5.41%
03/01/2006,0.48,0.39,0.49,0.39,15.80B,23.08%
04/01/2006,0.49,0.48,0.51,0.46,13.41B,2.08%
05/01/2006,0.38,0.49,0.53,0.38,14.40B,-22.45%
06/01/2006,0.35,0.39,0.41,0.32,12.31B,-7.89%
07/01/2006,0.37,0.36,0.38,0.29,12.17B,5.71%
08/01/2006,0.49,0.36,0.49,0.35,16.27B,32.43%
09/01/2006,0.49,0.48,0.52,0.44,11.53B,0.00%
10/01/2006,0.58,0.49,0.58,0.46,13.57B,18.37%
11/01/2006,0.62,0.57,0.62,0.53,13.47B,6.90%
12/01/2006,0.62,0.61,0.65,0.58,10.03B,0.00%
01/01/2007,0.51,0.62,0.63,0.5,17.08B,-17.74%
02/01/2007,0.52,0.51,0.58,0.51,13.53B,1.96%
03/01/2007,0.48,0.51,0.53,0.47,14.86B,-7.69%
04/01/2007,0.55,0.48,0.57,0.47,13.54B,14.58%
05/01/2007,0.58,0.56,0.6,0.54,12.96B,5.45%
06/01/2007,0.69,0.58,0.73,0.57,14.48B,18.97%
07/01/2007,0.76,0.7,0.8,0.7,10.43B,10.14%
08/01/2007,0.85,0.75,0.86,0.68,15.71B,11.84%
09/01/2007,0.91,0.86,0.93,0.8,9.49B,7.06%
10/01/2007,0.88,0.91,0.99,0.81,10.67B,-3.30%
11/01/2007,0.79,0.87,0.95,0.73,12.06B,-10.23%
12/01/2007,0.85,0.8,0.91,0.78,7.58B,7.59%
01/01/2008,0.61,0.85,0.86,0.56,15.50B,-28.24%
02/01/2008,0.53,0.61,0.69,0.53,13.63B,-13.11%
03/01/2008,0.49,0.53,0.54,0.43,15.94B,-7.55%
04/01/2008,0.51,0.51,0.53,0.44,16.63B,4.08%
05/01/2008,0.62,0.52,0.63,0.52,20.40B,21.57%
06/01/2008,0.47,0.62,0.63,0.46,17.18B,-24.19%
07/01/2008,0.29,0.46,0.47,0.27,22.78B,-38.30%
08/01/2008,0.32,0.28,0.35,0.26,18.65B,10.34%
09/01/2008,0.27,0.32,0.32,0.22,19.74B,-15.62%
10/01/2008,0.22,0.26,0.27,0.15,20.47B,-18.52%
11/01/2008,0.19,0.22,0.23,0.14,12.21B,-13.64%
12/01/2008,0.2,0.18,0.24,0.17,11.71B,5.26%
01/01/2009,0.2,0.2,0.24,0.18,15.27B,0.00%
02/01/2009,0.21,0.2,0.25,0.18,16.30B,5.00%
03/01/2009,0.25,0.2,0.3,0.19,22.19B,19.05%
04/01/2009,0.29,0.24,0.3,0.23,17.63B,16.00%
05/01/2009,0.26,0.29,0.31,0.21,21.41B,-10.34%
06/01/2009,0.28,0.26,0.3,0.25,14.68B,7.69%
07/01/2009,0.32,0.28,0.33,0.24,16.00B,14.29%
08/01/2009,0.36,0.33,0.38,0.32,13.23B,12.50%
09/01/2009,0.38,0.36,0.41,0.35,12.08B,5.56%
10/01/2009,0.3,0.37,0.37,0.3,15.52B,-21.05%
11/01/2009,0.33,0.3,0.35,0.29,12.86B,10.00%
