par_id,paragraph,has_entity,lexicon_count,difficult_words,last_editor_gender,category,text_clarity,preprocessed_paragraph
7.45893E+11,"Clippy is Rust's built-in linting tool to improve the correctness, performance, and readability of Rust code. It was created in 2014 and named after Microsoft Office's assistant, an anthropomorphized paperclip of the same name. As of 2024, it has more than 700 rules, which can be browsed online and filtered by category.",ORG_YES_PRODUCT_NO_PERSON_NO_,52,14,man,programming,clear_enough,"clippi rust 's built-in lint tool improv correct , perform , readabl rust code . creat 2014 name microsoft offic 's assist , anthropomorph paperclip name . 2024 , 700 rule , brows onlin filter categori ."
3.14496E+11,"Others have argued that the belief may not be inherent in Maccabees.In the first century, Philo of Alexandria, a Hellenized Jew, lays out the basic idea of ex nihilo creation, though he is not always consistent, he rejects the Greek idea of the eternal universe and he maintains that God has created time itself. In other places it has been argued that he postulates pre-existent matter alongside God. But other major scholars such as Harry Austryn Wolfson see that interpretation of Philo's ideas differently and argue that the so-called pre-existent matter was created.Saadia Gaon introduced ex nihilo creation into the readings of the Jewish bible in the 10th century CE in his work Book of Beliefs and Opinions where he imagines a God far more awesome and omnipotent than that of the rabbis, the traditional Jewish teachers who had so far dominated Judaism, whose God created the world from pre-existing matter. Today Jews, like Christians, tend to believe in creation ex nihilo, although some Jewish scholars recognise that Genesis 1:1 recognises the pre-existence of matter to which God gives form.",ORG_YES_PRODUCT_NO_PERSON_YES_,180,50,woman,philosophy,clear_enough,"other argu belief may inher maccabees.in first centuri , philo alexandria , hellen jew , lay basic idea ex nihilo creation , though alway consist , reject greek idea etern univers maintain god creat time . place argu postul pre-exist matter alongsid god . major scholar harri austryn wolfson see interpret philo 's idea differ argu so-cal pre-exist matter created.saadia gaon introduc ex nihilo creation read jewish bibl 10th centuri ce work book belief opinion imagin god far awesom omnipot rabbi , tradit jewish teacher far domin judaism , whose god creat world pre-exist matter . today jew , like christian , tend believ creation ex nihilo , although jewish scholar recognis genesi 1:1 recognis pre-exist matter god give form ."
3.92496E+11,"Later BASIC versions on Commodore and other platforms included a DELETE and RENUMBER command, as well as an AUTO line numbering command that would automatically select and insert line numbers according to a selected increment. Earlier BASICs from Commodore also lack debugging commands, meaning that bugs and unused variables are hard to trap. IF...THEN...ELSE structures, a standard part of Z80 Microsoft BASICs, were added to BASIC 3.5 after being unavailable in earlier versions of Commodore BASIC.",ORG_YES_PRODUCT_NO_PERSON_NO_,76,26,man,programming,not_clear_enough,"later basic version commodor platform includ delet renumb command , well auto line number command would automat select insert line number accord select increment . earlier basic commodor also lack debug command , mean bug unus variabl hard trap . ... ... els structur , standard part z80 microsoft basic , ad basic 3.5 unavail earlier version commodor basic ."
6.86523E+11,"""This World 2 is our primary reality. Our conscious experiences are the basis of our knowledge of World 1, which is thus a world of secondary reality, a derivative world. Whenever I am doing a scientific experiment, for example, I have to plan it cognitively, all in my thoughts, and then consciously carry out my plan of action in the experiment. Finally I have to look at the results and evaluate them in thought. For example, I have to see the traces of the oscilloscope and their photographic records or hear the signals on the loudspeaker. The various signals from the recording equipment have to be received by my sense organs, transmitted to my brain, and so to my consciousness, then appropriately measured and compared before I can begin to think about the significance of the experimental results. We are all the time, in every action we do, incessantly playing backwards and forwards between World 1 and World 2.",ORG_NO_PRODUCT_NO_PERSON_NO_,159,36,man,biographies,clear_enough,"`` world 2 primari realiti . consciou experi basi knowledg world 1 , thu world secondari realiti , deriv world . whenev scientif experi , exampl , plan cognit , thought , conscious carri plan action experi . final look result evalu thought . exampl , see trace oscilloscop photograph record hear signal loudspeak . variou signal record equip receiv sens organ , transmit brain , conscious , appropri measur compar begin think signific experiment result . time , everi action , incessantli play backward forward world 1 world 2 ."
13149004382,"Aesthetics examines affective domain response to an object or phenomenon. Judgments of aesthetic value rely on the ability to discriminate at a sensory level. However, aesthetic judgments usually go beyond sensory discrimination.",ORG_NO_PRODUCT_NO_PERSON_NO_,32,16,man,philosophy,clear_enough,"aesthet examin affect domain respons object phenomenon . judgment aesthet valu reli abil discrimin sensori level . howev , aesthet judgment usual go beyond sensori discrimin ."
7957000325,"Something untrue is false. A half truth is something true mixed with something false, or something partly true with key information omitted.",ORG_NO_PRODUCT_NO_PERSON_NO_,22,3,man,philosophy,not_clear_enough,"someth untru fals . half truth someth true mix someth fals , someth partli true key inform omit ."
4076003543," The first contest was won by a mindless program with no identifiable intelligence that managed to fool naive interrogators into making the wrong identification. This highlighted several of the shortcomings of the Turing test : The winner won, at least in part, because it was able to ""imitate human typing errors""; the unsophisticated interrogators were easily fooled; and some researchers in AI have been led to feel that the test is merely a distraction from more fruitful research.The silver  and gold  prizes have never been won. However, the competition has awarded the bronze medal every year for the computer system that, in the judges' opinions, demonstrates the ""most human"" conversational behaviour among that year's entries. Artificial Linguistic Internet Computer Entity  has won the bronze award on three occasions in recent times . Learning AI Jabberwacky won in 2005 and 2006.",ORG_YES_PRODUCT_NO_PERSON_NO_,138,39,woman,artificial intelligence,not_clear_enough,"first contest mindless program identifi intellig manag fool naiv interrog make wrong identif . highlight sever shortcom ture test : winner , least part , abl `` imit human type error '' ; unsophist interrog easili fool ; research ai led feel test mere distract fruit research.th silver gold prize never . howev , competit award bronz medal everi year comput system , judg ' opinion , demonstr `` human '' convers behaviour among year 's entri . artifici linguist internet comput entiti bronz award three occas recent time . learn ai jabberwacki 2005 2006 ."
2.2052E+11,"much better than the good things, his belongings; so in this house of the universe, when throughout",ORG_NO_PRODUCT_NO_PERSON_NO_,17,3,woman,philosophy,clear_enough,"much better good thing , belong ; hous univers , throughout"
1.83877E+11,"Thomson's separation of neon isotopes by their mass was the first example of mass spectrometry, which was subsequently improved and developed into a general method by F. W. Aston and by A. J. Dempster.",ORG_YES_PRODUCT_NO_PERSON_YES_,34,10,man,biographies,not_clear_enough,"thomson 's separ neon isotop mass first exampl mass spectrometri , subsequ improv develop gener method f. w. aston a. j. dempster ."
9.98224E+11,"But suppose we are debugging our program, and we would like to add logging messages to foo and bar.",ORG_NO_PRODUCT_NO_PERSON_NO_,19,4,man,programming,clear_enough,"suppos debug program , would like add log messag foo bar ."
6362003902,"Weak typing allows a value of one type to be treated as another, for example treating a string as a number. This can occasionally be useful, but it can also allow some kinds of program faults to go undetected at compile time and even at run time.",ORG_NO_PRODUCT_NO_PERSON_NO_,47,9,man,programming,not_clear_enough,"weak type allow valu one type treat anoth , exampl treat string number . occasion use , also allow kind program fault go undetect compil time even run time ."
2.91401E+11," His father had deposited £500 with his London agent to support him. He learnt quickly. Bernal encouraged him to use the X-ray diffraction method to study the structure of proteins. As protein crystals were difficult to obtain, he used horse haemoglobin crystals, and began his doctoral thesis on its structure. Haemoglobin was a subject which was to occupy him for most of his professional career. He completed his Ph.D. under Lawrence Bragg in 1940.He applied to Kings and St. John's colleges, and became a member of Peterhouse, on the basis that it served the best food. He was elected an Honorary Fellow of Peterhouse in 1962. He took a keen interest in the Junior Members, and was a regular and popular speaker at the Kelvin Club, the College's scientific society.",ORG_YES_PRODUCT_NO_PERSON_YES_,130,30,woman,biographies,clear_enough,"father deposit £500 london agent support . learnt quickli . bernal encourag use x-ray diffract method studi structur protein . protein crystal difficult obtain , use hors haemoglobin crystal , began doctor thesi structur . haemoglobin subject occupi profession career . complet ph.d. lawrenc bragg 1940.he appli king st. john 's colleg , becam member peterhous , basi serv best food . elect honorari fellow peterhous 1962 . took keen interest junior member , regular popular speaker kelvin club , colleg 's scientif societi ."
6.96191E+11,"Array references are written like function calls, e.g. array rather than array. (Internally in Scala, the former expands into array.apply which returns the reference)",ORG_NO_PRODUCT_NO_PERSON_NO_,24,9,man,programming,clear_enough,"array refer written like function call , e.g . array rather array . ( intern scala , former expand array.appli return refer )"
42967004937,"It seems as though there can be cases where our ignorance or error about a class means that we either don't know the definition of a concept, or have incorrect notions about what a definition of a particular concept might entail.",ORG_NO_PRODUCT_NO_PERSON_NO_,41,9,man,philosophy,not_clear_enough,"seem though case ignor error class mean either n't know definit concept , incorrect notion definit particular concept might entail ."
5.8728E+11,"To avoid shock between stages of the GAN game, each new layer is ""blended in"" . For example, this is how the second stage GAN game starts:",ORG_YES_PRODUCT_NO_PERSON_NO_,26,3,non-binary,artificial intelligence,not_clear_enough,"avoid shock stage gan game , new layer `` blend '' . exampl , second stage gan game start :"
1.99756E+11,"Accounts of his studies and adventures there were eventually published in 1869 as The Malay Archipelago. It became one of the most popular natural history travel journals of the 19th century. It was praised by Charles Darwin and Charles Lyell and by others, such as the novelist Joseph Conrad, who called it his ""favorite bedside companion"".",ORG_NO_PRODUCT_NO_PERSON_YES_,56,17,woman,biographies,not_clear_enough,"account studi adventur eventu publish 1869 malay archipelago . becam one popular natur histori travel journal 19th centuri . prais charl darwin charl lyell other , novelist joseph conrad , call `` favorit bedsid companion '' ."
1.00604E+12,Mencius tried to find the root of human nature. The view of the theory of the goodness of nature and the four endings of the heart was also praised and spread by the Confucian thinker Ito Jinsai of Japan in the Edo period. His writings on the goodness of human nature include statements such as.,ORG_YES_PRODUCT_NO_PERSON_NO_,55,11,woman,philosophy,not_clear_enough,menciu tri find root human natur . view theori good natur four end heart also prais spread confucian thinker ito jinsai japan edo period . write good human natur includ statement .
3.37678E+11,"At first he was a business man and earned a lot of money. Then he devoted himself to mathematics. He is famous for his work on number theory, determinant and algebra. He criticized Cantor's work on set theory. He was a pupil and lifelong friend of Ernst Kummer.",ORG_YES_PRODUCT_NO_PERSON_YES_,48,10,man,biographies,clear_enough,"first busi man earn lot money . devot mathemat . famou work number theori , determin algebra . critic cantor 's work set theori . pupil lifelong friend ernst kummer ."
